Feature ID,Domain,Phylum,Class,Order,Family,Genus,species
9445cd7451a09e60062e89de5ce7c095,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Prasiolopsis_sp.
5622ce416f64014dbc110fe47f200ecf,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium
206d00445a497d2441220533e0f6435a,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,Unassigned
322f3537fa2d8b289d2c321160112c3c,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
b80875d01e879f6e2ff222e495ee9d76,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
5b1b138a0eb5e21f8170071cde98285a,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned
f2c7f2f1df6b9a8cc108b375550a86da,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,uncultured_Ktedobacteria
369b2ff24d4d026ee6f3f0ae8b487c57,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Unassigned
4fed9fec8ded01ca005d2772aa5c6354,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
743a2697f76671ae8d660065cbd133c6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,Phreatobacter_sp.
c0c51451ce75b0d39cf6913df77bef7b,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,Unassigned
